id;created_at;updated_at;creator_user_id;name;player_count;format;status;group_count;top_per_group;use_wildcard;wildcard_count;share_id;is_public;requires_registration;requires_skill_level;min_skill_level;max_skill_level;skill_rating_system;auto_approve_registrations;registration_message;courts;start_time;is_doubles;default_sets;parent_tournament_id
8d252886-4789-4d81-8f29-37fdbe065760;2026-01-08 05:29:06.952296+00;2026-02-09 02:02:50.038714+00;a6d505d2-4c4e-4a6a-9cee-b0e53884557e;Giải Pickleball BICVN & MSCVN lần thứ nhất;12;round_robin;completed;2;2;false;0;81dbe4c71fb9;true;false;false;;;DUPR;false;;"[""3""]";09:00;false;1;
5c07bb22-46ee-44c9-88c0-d061b39a66a6;2026-01-09 07:00:29.209587+00;2026-02-09 02:02:50.038714+00;218df59f-7f2e-4a9b-8afe-d46fc0a5ad00;CK Sport;16;round_robin;completed;3;2;false;0;05e9efa0bf8b;true;true;true;;;DUPR;false;;[];;true;1;
e7bedb92-b013-4515-a6a6-42351c6364ac;2026-01-13 15:20:17.284424+00;2026-02-09 02:02:50.038714+00;7f968841-abe5-4b7d-b489-9534049b5b4b;NEU;16;round_robin;completed;4;2;false;0;5fec4a43cb1a;true;false;false;;;DUPR;false;;[];;true;1;
3132261b-ece3-4b64-8692-32361923f50b;2026-01-13 23:25:32.670566+00;2026-02-09 02:02:50.038714+00;8f855f8e-2ca1-4276-9ddc-a514852303d4;Giải Pickleball PMP;16;round_robin;completed;4;2;false;0;a3c5ef71036a;true;true;false;;;DUPR;false;;[];;true;1;
268b159d-3c85-4fc7-8b84-6d8234dc87df;2026-01-14 13:01:11.09312+00;2026-02-09 02:02:50.038714+00;33a8f5c3-e106-46ab-b0e1-cfbcd76a4d1b;Keele;16;round_robin;completed;4;2;false;0;a72e773f9725;true;false;false;;;DUPR;false;;[];;true;1;
2028f6a5-c849-44dd-ab71-def69a8fd0b7;2026-01-15 03:33:38.968485+00;2026-02-09 02:02:50.038714+00;932e0032-90fd-4eb3-b6a0-97800387f5d9;Rio và những người bạn;16;round_robin;completed;4;2;false;0;6c1bc09380b9;true;false;false;;;DUPR;false;;[];;true;1;
91de9757-6909-4cdc-925b-1eed4578796b;2026-01-20 13:47:38.360484+00;2026-02-09 02:02:50.038714+00;5c173be9-6172-4f5b-a77d-5b4464f35b03;U40 test;32;round_robin;completed;8;2;false;0;e19c2605192b;true;false;false;;;DUPR;false;;"[""3"",""4"",""5"",""6""]";08:00;true;1;
4af34a4a-5c4d-406c-83fa-a1f44e62584a;2026-03-22 03:59:21.412199+00;2026-04-06 03:00:01.495106+00;13fc8156-210a-4720-b2ae-331c82c14d20;Mad drops;16;round_robin;completed;4;2;false;0;cada97bc4384;true;false;false;;;DUPR;false;;[];;true;1;
67eab605-06f2-4399-b930-80e0a5b43417;2026-03-26 14:48:18.564825+00;2026-03-26 14:56:07.015556+00;bdf7b00e-aff5-44e3-8c01-97771d655ab2;Level 1;8;round_robin;completed;2;2;false;0;b86cac835592;true;false;false;;;DUPR;false;;"[""2"",""4""]";08:00;true;1;
e407d1c6-de15-48ef-8523-f6d46d22d819;2026-02-22 06:42:55.288558+00;2026-03-09 03:00:11.811957+00;d1d7c6d2-d623-4fce-bf20-b3d3d5c89261;A;28;round_robin;completed;8;2;false;0;39ddd8b49482;true;false;false;;;DUPR;false;;[];;true;1;
c35e1032-0a0a-4d75-be74-0142265edb66;2026-02-25 19:10:30.466469+00;2026-03-12 03:00:04.885766+00;4e433148-466b-413f-9610-60c38533af6b;The Perfect Match Invitational 2026 : Karen & Joseph’s Birthday Bash;24;round_robin;completed;4;2;false;0;04e2ef0a574f;true;true;true;;;DUPR;false;;[];;true;1;
da0816b9-5c80-47af-a06c-3fff6f2c40dd;2026-03-02 02:10:12.487701+00;2026-03-17 03:00:03.73946+00;25edff60-3251-4ab3-b73f-4f9da12c5f6d;BIDV-Hitachi;8;round_robin;completed;2;2;false;0;930e35de98a5;true;false;false;;;DUPR;false;;"[""1"",""2"",""3"",""4""]";;true;1;
639d7b73-0ad9-4f86-98e1-adfc4e46f65e;2026-03-03 03:58:38.712951+00;2026-03-18 03:00:01.869465+00;a55b4497-4532-49c1-b324-cbe50080eea8;Đôi Nữ 8.3.2026;8;round_robin;completed;2;2;false;0;724b0e3be30f;true;false;false;;;DUPR;false;;[];;true;1;
c8df7618-741c-4a50-8475-fdd71eb57124;2026-04-03 09:47:11.80095+00;2026-04-07 13:33:58.852994+00;5040f0f2-f564-401c-9737-4b030b6371d7;TPP đôi nam nữ 36-59;23;round_robin;completed;6;2;false;0;c893fb063c0e;true;false;false;;;DUPR;false;;"[""2"",""9"",""10"",""11"",""12"",""13""]";13:00;true;1;
4e04c9d5-372a-40f0-ae31-d39a20f972df;2026-03-21 01:55:16.607695+00;2026-04-04 03:00:02.902197+00;5af72bb7-2742-4f82-b454-01f04d82f0c3;Pickle Ball  The Pioneers;20;round_robin;completed;4;2;false;0;11b801048218;true;false;false;;;DUPR;false;;[];;true;1;
3e66a71e-d374-4012-a66d-bde11f473445;2026-04-03 09:19:22.610234+00;2026-04-04 04:56:00.335068+00;5040f0f2-f564-401c-9737-4b030b6371d7;TPP đôi nam 17-35;11;round_robin;completed;3;2;false;0;0e532537614e;true;false;false;;;DUPR;false;;"[""5"",""6"",""7""]";08:15;true;1;
3a6961a0-81f7-4648-8203-104859e7af9d;2026-04-09 03:06:18.037603+00;2026-04-09 03:26:16.167887+00;5040f0f2-f564-401c-9737-4b030b6371d7;vh 17;21;round_robin;playoff;6;2;false;0;9c4960833d6f;true;false;false;;;DUPR;false;;"[""1"",""2"",""3"",""4"",""5"",""6""]";08:00;true;1;852eb7e2-892c-4b5d-ab1c-377239e9d5ee
fc49a157-fa58-4333-a28c-aa178ec46b37;2026-03-29 01:37:52.214286+00;2026-04-12 03:00:01.509722+00;2e48a5d1-6e96-431a-b968-b046c3808155;STING WEEK 2026;11;round_robin;completed;3;2;false;0;0ad94755c80b;true;false;false;;;DUPR;false;;[];;true;1;
