id;table_id;name;display_order;created_at
e7c10a56-3e59-4100-867b-f70e350da924;23ab5de0-815f-41f6-8a29-545207e9dd3f;C;2;2026-04-07 13:57:43.360186+00
43cf6491-e6c9-4239-b734-342eb6543150;23ab5de0-815f-41f6-8a29-545207e9dd3f;D;3;2026-04-07 13:57:43.360186+00
4e9fde4a-2e59-4b57-90a4-771c3378947d;95fe148d-c264-42b8-bf92-dd309c302728;A;0;2026-02-01 08:18:37.285849+00
8fb8d964-1a95-4bef-bece-a10fc299d032;95fe148d-c264-42b8-bf92-dd309c302728;B;1;2026-02-01 08:18:37.285849+00
dc897423-781e-4a29-b18d-813357e728f4;95fe148d-c264-42b8-bf92-dd309c302728;C;2;2026-02-01 08:18:37.285849+00
fd988701-eba4-445b-b851-78681246262a;8189d405-eb39-4c45-90ff-347b97398739;A;0;2026-03-21 13:11:57.269374+00
50d681d3-23ff-4382-9055-cc01ff83a7ee;6362436f-1982-4500-83fd-00be678ee3ed;A;0;2026-02-28 03:49:44.439419+00
01b825d7-7bfc-4be0-b050-6c5888e08122;6362436f-1982-4500-83fd-00be678ee3ed;B;1;2026-02-28 03:49:44.439419+00
84fafcaf-e62c-4ad5-b8f3-d497f8f1a104;6362436f-1982-4500-83fd-00be678ee3ed;C;2;2026-02-28 03:49:44.439419+00
bce91b91-c90a-43ac-9efd-8112f6360e0c;6362436f-1982-4500-83fd-00be678ee3ed;D;3;2026-02-28 03:49:44.439419+00
294540ba-7a01-469d-b690-5c41ccfa1554;6362436f-1982-4500-83fd-00be678ee3ed;E;4;2026-02-28 03:49:44.439419+00
d6b13098-1698-4fd4-ae92-29ad1d8dd291;6362436f-1982-4500-83fd-00be678ee3ed;F;5;2026-02-28 03:49:44.439419+00
c04519e1-2297-49ea-881b-8928a0df227c;6362436f-1982-4500-83fd-00be678ee3ed;G;6;2026-02-28 03:49:44.439419+00
5ad2b325-90f3-42e5-ad55-37a9a4c2f2a0;8189d405-eb39-4c45-90ff-347b97398739;B;1;2026-03-21 13:11:57.269374+00
8acf1c5d-39f8-4300-b5eb-f4bfb3bff52c;1993676f-43b3-4937-a51e-1c532314c2b6;A;0;2026-03-27 09:18:32.972997+00
9dcd199f-f41f-4f19-9eef-0f5b4ca98568;1993676f-43b3-4937-a51e-1c532314c2b6;B;1;2026-03-27 09:18:32.972997+00
7d238e76-e92b-4399-ad2a-1599e01233dd;1993676f-43b3-4937-a51e-1c532314c2b6;C;2;2026-03-27 09:18:32.972997+00
91540ba6-ef98-4623-b79f-14b1bbe3498a;3e66a71e-d374-4012-a66d-bde11f473445;A;0;2026-04-03 09:21:31.879255+00
7360e49e-3379-4e38-bcde-948d1cd13f4a;3e66a71e-d374-4012-a66d-bde11f473445;B;1;2026-04-03 09:21:31.879255+00
77639797-582f-4326-80f4-22034f753378;3e66a71e-d374-4012-a66d-bde11f473445;C;2;2026-04-03 09:21:31.879255+00
