id;user_id;type;entity_type;entity_id;related_id;title;message;is_read;created_at
d5c6b148-f1f3-4de1-87a2-0d492b52af95;88851ff9-4082-45ea-8a92-7f81694a1d2e;livestream_scheduled;organization;41fb095c-eb98-4241-a471-f047c87158fc;2b63e361-67b4-4d43-acec-bf0e464e82e3;TAPickleball đã lên lịch livestream mới;Round 16;false;2026-03-26 16:10:57.942268+00
cc51a404-f37c-4cb1-b8c0-a65fd739cf8a;481ca5d3-71cc-42d6-809d-a4be432dfd6c;livestream_scheduled;organization;41fb095c-eb98-4241-a471-f047c87158fc;2b63e361-67b4-4d43-acec-bf0e464e82e3;TAPickleball đã lên lịch livestream mới;Round 16;false;2026-03-26 16:10:57.942268+00
56c2b822-33c1-4c95-a4c5-63b89ed11dd8;2ae96b48-6d3a-4f83-9828-95d1310e89ce;livestream_scheduled;organization;41fb095c-eb98-4241-a471-f047c87158fc;2b63e361-67b4-4d43-acec-bf0e464e82e3;TAPickleball đã lên lịch livestream mới;Round 16;false;2026-03-26 16:10:57.942268+00
f533f201-a8ea-4c84-8a27-a63a9ace939a;95c01427-e123-454f-9fae-26e953e4a671;livestream_scheduled;organization;41fb095c-eb98-4241-a471-f047c87158fc;2b63e361-67b4-4d43-acec-bf0e464e82e3;TAPickleball đã lên lịch livestream mới;Round 16;false;2026-03-26 16:10:57.942268+00
0fec704b-3838-45f9-85e2-723e8ee6668c;12930035-7f31-4623-8ec2-a1833703b714;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;2b63e361-67b4-4d43-acec-bf0e464e82e3;TAPickleball đang phát trực tiếp!;Round 16;false;2026-03-26 16:11:35.363894+00
38ce2ce9-1536-40c1-a960-7a9341e54281;88851ff9-4082-45ea-8a92-7f81694a1d2e;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;2b63e361-67b4-4d43-acec-bf0e464e82e3;TAPickleball đang phát trực tiếp!;Round 16;false;2026-03-26 16:11:35.363894+00
8c84d90d-3397-4eb3-9b79-e12d3d3db40f;481ca5d3-71cc-42d6-809d-a4be432dfd6c;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;2b63e361-67b4-4d43-acec-bf0e464e82e3;TAPickleball đang phát trực tiếp!;Round 16;false;2026-03-26 16:11:35.363894+00
b094f64a-da97-4577-9d50-7cd8b1715bb6;2ae96b48-6d3a-4f83-9828-95d1310e89ce;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;2b63e361-67b4-4d43-acec-bf0e464e82e3;TAPickleball đang phát trực tiếp!;Round 16;false;2026-03-26 16:11:35.363894+00
6118ba48-6faf-4a96-8ba9-f773d10afe49;95c01427-e123-454f-9fae-26e953e4a671;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;2b63e361-67b4-4d43-acec-bf0e464e82e3;TAPickleball đang phát trực tiếp!;Round 16;false;2026-03-26 16:11:35.363894+00
36111e0d-6c06-457f-8599-fcf0fcdc2fa8;12930035-7f31-4623-8ec2-a1833703b714;livestream_live;organization;41fb095c-eb98-4241-a471-f047c87158fc;2b63e361-67b4-4d43-acec-bf0e464e82e3;TAPickleball đang phát trực tiếp!;Round 16;false;2026-03-26 16:12:22.664288+00
