id;user_id;target_type;target_id;content;created_at
b2a6bade-442a-4448-abeb-06dc3f1909f0;620f42b0-2219-443a-b9ee-dd791564f4fb;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Trận hay quá b ơi;2026-02-22 17:55:52.574258+00
eba9b004-192f-4fa8-bbac-2da3c46a227e;620f42b0-2219-443a-b9ee-dd791564f4fb;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Xem nín thở;2026-02-22 17:56:04.060685+00
d50c3163-0fa4-418f-922d-2372de4364fb;aceda05b-97ab-4229-b720-1d29247a90e8;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Chat được ko nhệ;2026-02-22 17:57:21.906239+00
3542cfd7-ed4b-424b-a43c-dfe114b65ac7;f11f4da2-0121-490b-ba74-e3af844275b8;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Bj wta xin cái tuổi rồi hihi;2026-02-22 17:57:22.463304+00
f9a3a3ca-1fb7-4239-9dbf-13886d37e6bc;aceda05b-97ab-4229-b720-1d29247a90e8;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Fan ALW mà cổ vũ cho ALW BJ thua :));2026-02-22 17:59:29.214463+00
20f6b7ff-e56d-4f33-884b-1dcb43b6758b;4348b269-d67d-490e-b96e-5262930d55e7;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Paciquin giờ hay nhỉ . Xem sướng thật;2026-02-22 18:02:38.565591+00
9f3eb588-d0fc-46d2-89a1-10f1189912d6;4ef2a06c-da82-49bd-82b8-dcb0915d76fa;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Đôi nam đã đánh chưa mọi người?;2026-02-22 18:06:20.480655+00
54155a94-3177-4e90-b1dc-0cbef32952f3;f11f4da2-0121-490b-ba74-e3af844275b8;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Ptr đánh kinh thạt;2026-02-22 18:07:24.02032+00
1b0f4dab-0506-4442-abe3-7bb9a4394eb5;f11f4da2-0121-490b-ba74-e3af844275b8;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Tê rồi;2026-02-22 18:09:08.550415+00
56e2e4c9-d458-4c48-8b7f-2a6718a12da9;2dc35355-6e8c-4d21-a5a9-b3861ec720d2;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;mấy h có trận ta;2026-02-22 18:32:55.829658+00
232e25ed-5599-4705-b867-1ae37c003aa4;51065a8b-ec09-4bae-8c1f-aaf896dcfa66;livestream;c8e56c37-d405-4281-b66f-c5d925f89595;Đơn nam đánh chưa vậy m.người ơi ??;2026-02-22 21:52:18.769654+00
4f11d059-cea2-4568-ba76-267bbb1cd222;a2add813-0f18-4092-a25a-b590f4b31c10;livestream;57fe3b87-5d35-4aca-a17c-e4a24d866386;Toàn bịp trình thôi;2026-03-14 16:22:18.596506+00
a08331dd-e390-4873-8adc-2948242b5846;77b75b8a-6de6-45cd-821d-c32827312d5b;livestream;57fe3b87-5d35-4aca-a17c-e4a24d866386;Ad nay thức khuya thế;2026-03-14 17:17:12.854812+00
7b4d4b7c-0cfa-44fd-8e0c-d4c8012e7121;8ef6cc8e-940f-4d66-a29d-6560db50fa06;livestream;e283def0-68cc-4aa8-984c-94f562590177;Hú;2026-03-15 14:37:49.481263+00
250a2b46-b3ea-411d-9960-b93ae7ac7b74;4957e3ca-988c-4e41-9f07-d6b14a601134;livestream;e283def0-68cc-4aa8-984c-94f562590177;Đôi nam nữ ai win r ad;2026-03-15 16:41:57.072678+00
d87d4882-1c50-4ba9-8f6a-a06a83f618c1;d954152e-d786-4d25-99bf-1108dd57634f;livestream;d8481dc4-d29e-4dad-9f9a-6a19cfd05e05;trần này là bán kết đúng ko ad;2026-03-29 15:31:21.309583+00
f56dbf50-2a7c-414a-a570-569b5a4b60f3;02c49ebe-b1f7-48ad-add3-a58af150aa65;livestream;d8481dc4-d29e-4dad-9f9a-6a19cfd05e05;Trân này xem lại hà à;2026-03-29 15:31:51.280152+00
